Service Description,Service Classification
Geo data management and computation. Geometries and collections of geometries. Spatial lookups and operations. Asynchronous computation and drawing tasks. Multiple spatial reference systems.,Mapping
"The service provides listings and locations for stations providing fuel for vehicles powered by technologies other than gasoline and diesel engines. These alternative fuel stations can be rare and widely distributed, making them difficult to find and reducing the appeal of the technologies. The service is intended to counterbalance that effect by publicizing the locations of alternative fuel stops. API methods support queries against a database of alternative fuel stations. Results can provide either complete listings or the locations of the stations within a particular radius or nearest a location specified by street address, city and state, Zip Code, or latitude and longitude. Returned data provide the station name and location along with particulars like fuel types available and payment methods accepted.",Mapping
Tagwhat is a hyperlocal application that allows users to see what is going on nearby them by location data. Tagwhat pushes a feed of events and information by location. The Tagwhat API allows developers to access and integrate the functionality of Tagwhat with other applications. Public documentation is not available; interested developers should email info@tagwhat.com for API access.,Mapping
SpamID.net is an IP address geolocation database. The IP Locator API allows users to send in the IP address of an online visitor and get back their physical location. It uses a RESTful interface and responses are formatted in XML.,Mapping
The NavVis REST API allows developers to access and integrate the functionality of NavVis with other applications and to create new applications. Public documentation is not available; API access comes with account service. NavVis is an indoor mapping and indoor navigation service.,Mapping
"The Pointpin API allows developers to integrate their applications with the Pointpin service, which give their applications IP geolocation information. The API requires an API key. Pointpin is a hosted IP geolocation and location data API.",Mapping
"MetaLocator is a feature-rich mapping and locator service that can be used to add and manage searchable maps on a website. It can serve as any type of location directory such as a store locator, ATM locator, or vendor list. MetaLocator is lightweight, portable, highly configurable, and works in any language. Users can add MetaLocator maps their websites by copying and pasting a line of JavaScript code onto the site. The map appears as a seamless aspect of the site with no branding or ads. Developers can interact with MetaLocator.com using an XML-RPC API in order to add, delete, update, publish, and unpublish stored locations.",Mapping
RaveGeo WebMap is a powerful and easy to use mapping tool for web application integration. RaveGeo WebMap is built as a web component that can easily be integrated by pasting an HTML snippet into a web page and has two implementations: a Java applet a JavaScript implementation. RaveGeo WebMap features a large variety of control possibilities and overlay of symbols. It is rendered in a Java Applet to provide fast map browsing and smooth and animated interaction and as JavaScript for he dynamic rendering that also let's you control the look and feel of the map and how your users interact with it.,Mapping
"The MapmyIndia REST Geocoding API allows developers to access the geocoding functionality of MapmyIndia for integration with other applications and websites. The main API method is retrieving geocoding information for addresses and points of interest in India. MapmyIndia provides mapping solutions, tracking solutions, and GPS and GIS services for India.",Mapping
"The service provides a repository of aerial photos and topographic maps of terrain within the U.S. state of Minnesota. Photographs are taken from aircraft to capture surface features, and topographical maps are scanned from authoritative printed versions. The Web Map Service (WMS) stores and provides access to very large image files, saving the need to download and save local copies. API methods support access to digital orthophotography and hillshade images as well as scanned USGS quadrangle topographic maps for locations in Minnesota specified by latitude and longitude or UTM zone. Returned data compliant with WMS protocols provide links to image files in jpeg and png formats.",Mapping
"The MapmyIndia REST Routing API allows developers to access the route functionality of MapmyIndia for integration with other applications and websites. The main API method is calculating and retrieving route information based on addresses and points of interest in India. MapmyIndia provides mapping solutions, tracking solutions, and GPS and GIS services for India.",Mapping
"The service provides information about altitude and topography for places on the Earth. Sources for topographic data include the Shuttle Radar Topography Mission (SRTM) and the GTOPO30 project of the U.S. Geological Service (USGS). Data describes contours and primary features of all continents except Antarctica at a horizontal resolution of about 90 meters. API methods support submission of a place or list of places, specified by latitude and longitude or GPS coordinates, to retrieve altitude, distance apart, and intermediate locations. The API generates an altitude profile for the route between the specified places, which can help to route's steepness or to verify the visibility of one point from another. Distance measurements account for the curvature of the Earth.",Mapping
The Open Elevation API provides elevations and distances given coordinates in JSON or XML formats. The two output options are a raw output of the data and an elevation chart. Best used in conjunction with MapQuest's Open Directions Service to generate an elevation chart for your route.,Mapping
"Geoloqi is a platform for private, real-time mobile location. The service stores locations and allows you to create Geonotes, receive proximal notification and optionally share real-time GPS maps with friends. The API provides access to all aspects of the platform, such as locations, accounts and layers.",Mapping
"DeHood is a social network built around geo-mapping technology, allowing uses to display their movements and activities with others. The DeHood API is currently in private beta, but will give developers the tools to build their own location-based applications in flash.",Mapping
"The service extends the provider's ZIP Code lookup service to allow specification of cities by their common names. For a submitted location, it returns other ZIP Codes and cities in the surrounding areas. The service can also provide distance between ZIP Codes and cities and provide mapping coordinates. API methods support submission of a ZIP Code or city name to retrieve its location coordinates, nearby cities and locations, and adjacent ZIP Codes. Methods allow submission of a list places to determine the distance between them.",Mapping
"The Amazon Maps API enables developers to create maps for Fire tablet and Fire phone applications. Version 2 now supports interactive 3D mapping with high quality vector imaging, including high quality 3D landmarks, satellite tiles, location data, and the creation of polygons to highlight certain areas on the map. Developers can apply for API access by submitting their app, and can also download the Amazon Mobile SDK for language/platform specific compatibilities.",Mapping
"This API is the open version of MapQuest's Search API. Nominatim is completely open-source and is used to search all named features in OpenStreetMap and a subset of other unnamed features such as pubs and hotels. Results returned in Nominatim include the feature type, address, latitude/longitude, and other OSM data fields.",Mapping
"A professional-grade GIS data provider offering neighborhood boundaries dataset via an API. Also an API for neighborhood boundaries, ZIP Code boundaries and postal carrier route boundaries.",Mapping
"Online mapping and geolocation services. Create embeddable maps with JavaScript, including customizable tiles that fit the look and feel of your site. The deCarta service also includes powerful geocoding, reverse geocoding and routing.",Mapping
"Service provides web-hosted, real-time address validation. CASS-certified protocols parse, look up, correct, and standardize addresses in the United States based on updated USPS ZIP + 4, DPV and LACSLink data. Validation allows single or batch submissions, with adjustment for case in names (all caps, all lower case, etc.). Methods support simple address encoding or complex encoding with options to standardize, adjust case, or look up carrier route, county code, congressional district, and more.",Mapping
"OpenLayers is a pure JavaScript library for displaying map data in most modern web browsers, with no server-side dependencies. OpenLayers implements a (still-developing) JavaScript API for building rich web-based geographic applications, similar to the Google Maps and MSN Virtual Earth APIs, with one important difference OpenLayers is Free Software, developed for and by the Open Source software community. Furthermore, OpenLayers implements industry-standard methods for geographic data access, such as the OpenGIS Consortium's Web Mapping Service (WMS) and Web Feature Service (WFS) protocols. Under the hood, OpenLayers is written in object-oriented JavaScript, using Prototype.js and components from the Rico library. The OpenLayers code base already has hundreds of unit tests, via the Test.AnotherWay framework.",Mapping
"The service provides marine mapping with configurable images showing depth and topographic characteristics of the world's oceans based on detailed bathymetric data. Requests to the Web Map Tile Service (WMTS) can be embedded to generate images of a global location and the surrounding ocean. Depth and terrain features of the ocean floor are represented as aids to marine navigation, exploration, and research. API methods support submission of a global location, stated in the request as global tile row and column plus zoom level. The API generates and returns a PNG image of the land and ocean floor topography at the specified location, represented as a digital terrain model with shaded relief and depth readings (soundings).",Mapping
"ClusterMash enables server-side clustering of map markers. These locations can be uploaded in a CSV format using the ClusterMash API in order to quickly cluster millions of markers within an app. In addition to latitude and longitude coordinates, an additional 15 metadata fields can also be inputted per marker. MapCluster comes with corresponding CSS & JavaScript tools to enable quick drawing of cluster maps. ClusterMash is free to demo for 30 days, after which scalable pricing plans may be exercised depending on API call requirements.",Mapping
"This API allows you to store custom datasets in a spatially-aware database that resides on MapQuest servers. This includes tables that contain points, lines, and polygons that are stored as geographies, which allows Data Manager v2.0 to support spatial queries. MapQuest is a location-enabled Geospatial solution that provides tools for mapping items such as reservations, recommendations to routes, reroutes and more.",Mapping
"Scribble Maps is a map drawing and sharing platform. Scribble Maps allows users to draw, save, and share maps. The Scribble Maps API allows developers to access and integrate the functionality of Scribble Maps with other applications. Some example API methods include displaying maps, retrieving images of maps, and sharing maps.",Mapping
"Note that this is a commercial, fee-based service but that 45 trial accounts are available.",Mapping
The Chicago Boundary Service is a Chicago Tribune project that provides geographic and political boundary information for Illinois. The Boundary Service API provides a RESTful interface to that data. Results are returned in JSON or JSONP formatted data with nested GeoJSON for describing boundary shapes.,Mapping
"The Mapbox Directions API will show you how to get where you're going. With the Directions API, you can: calculate optimal driving, walking, and cycling routes, produce turn-by-turn instructions and produce routes with up to 25 coordinates anywhere on earth. Mapbox is an open source mapping platform for developers.",Mapping
"The AirMap Aircraft REST API allows developers to access and integrate the flight functionalities of AirMap with other applications. Some example API methods include searching for aircraft, retrieving aircraft manufacturers, and retrieving aircraft details. AirMap sources their own data so that drone manufacturers and developers don't have to to worry about sourcing their own airspace databases. AirMap is an airspace technology firm based in California.",Mapping
"HERE is a map provider whose maps can be found in car navigation systems, smartphones, and on the web. HERE offers developer access to a variety of map data and functionality through a series of REST APIs. The HERE Traffic API provides developer access millions of traffic flow sensors in major metropolitan areas worldwide. The API is capable of delivering real-time traffic data as incident or flow data, as well as historical speed patterns.",Mapping
"Urban Mapping's Mapfluence product is a platform that helps developers and enterprise markets create geospatial applications using the data and technological services that Urban Mapping provides. The Mapfluence API allows developers to access the geospatial data from Mapfluence and Urban Mapping. Some example API methods include adding data layers, such as demographic, on web maps, access contextual information about a location, and searching data to create tables or charts.",Mapping
"WikiMapia is an editable interactive map with the stated goal of creating and maintaining a free, complete, multilingual, up-to-date map of the whole world. The Wikimapia Api is a system that allows users to receive data from the maps. Users can integrate Wikimapia Geo Data into their external application or web site. The API uses RESTful calls and responses are formatted in JSON. The API is still in beta, more features will be added soon such as roads, graphic tiles use, then adding information from mobile devices to Wikimapia DB.",Mapping
"This API allows you to upload files to a CARTO account, check on their current upload status, as well as delete and list importing processes on a given account. It is an Open Source tool providing an engine that enables you to use several APIs to build advanced, dynamic geospatial datasets and scalable maps for your own applications. CARTO is an open intuitive platform for discovering and predicting the key insights underlying the location data in our world.",Mapping
"The Neighborhood API is a service that allows users to find the U.S. neighborhood that corresponds with a given set of geographic coordinates (i.e. latitude and longitude). The service is free, unless users wish to donate or want to pay for their own dedicated instance. Users can access the API via REST calls issued in JSON format.",Mapping
"The service maps U.K. postcodes and specific location parameters, defining map polygons and current or past administrative areas for the locations. It accepts either complete or partial postcode values, SRID values for specific points, or area identifiers. Mapping parameters returned are based on data from the Ordinance Survey, the Royal Mail, and the Office for National Statistics. API methods support submission of one or more postcodes, complete or partial, to be mapped. Methods also allow submission of one or more identifiers (SRID values or values from the British National Grid or Irish National Grid) for specific points or areas. Returned data provide map points or polygons, depending on the values input.",Mapping
"The service generates precise geolocation and mapping coordinates and standardized addresses based on user or application input specifying a location in varying formats. It also provides information relevant to the location, including businesses and other organizations nearby, geographic features, and places of interest. The precision of geolocation is influenced by the detail of data submitted to the service. General information about the location will return a neighborhood, postal code, or street, while more specific information can be resolved to a precise physical address. API methods support submission of known location data, either as free text or structured parameters. Optional parameters include the street or thoroughfare, the section or specific spot along that thoroughfare, the postal code, and the district or neighborhood, city, state or province, and any other administrative zone (e.g., a county). Depending on the completeness of the request, the API returns mapping specifications for either a general area or a precise physical address in standard format. Methods allow either individual submission of a single location or batch submission of a group of distinct locations.",Mapping
"The Microsoft Bing Maps API is the re-branded name for the Microsoft Virtual Earth API and Virtual Earth SDK. It features an AJAX map control. Use Bing Maps to build maps which can include routes and traffic info. Gives developers the ability to code the controls, shapes, and layers of the maps, and can summon the birds-eye, 3D, and aerial imagery. For commercial applications there is a SOAP-based Web Service also provides access to the Bing maps and geospatial features.",Mapping
Mapfluence is a mapping web service that simplifies and speeds up the development and deployment of sophisticated online mapping applications by providing infrastructure and data. The API is available via a RESTful protocol or through JavaScript.,Mapping
"UMapper is a visual web-based map authoring application. UMapper allows developers to create embeddable maps for Adobe Flash and distribute them through websites, blogs, or social networks. UMapper offers a visual map editor to let users add points, draw shapes and add interactive overlays to a map.",Mapping
"GIS Cloud is a service that allows users to host, manage, and access their geospatial data in the cloud. GIS Cloud also allows for creation, editing, and publishing of maps from the geospatial data. The GIS Cloud API allows developers to access and integrate the data and functionality of GIS Cloud into other applications. Some example API methods include creating maps, editing maps, deleting maps, creating and listing layers, and listing features.",Mapping
"Zippopotamus is zip code and postal code application. Zippopotamus can be used for autoform completion, mapping applications, and is open for crowdsourcing and user contribution. The Zippopotamus API allows users to integrate the functionality and zip code data with other applications. The API has over 50 countries included. The API method is returning details based on a zip or postal code, such as city, latitude and longitude, and country.",Mapping
"The service provides basic conversion of mapping data from the shapefile projection format .prj files to the encoding standard of the European Petroleum Survey Group (EPSG). The provider offers an interactive form to return EPSG codes matching a search term entered in a form or by parsing an uploaded .prj shapefile, and the same functions are available via API. API methods support submitting search terms, either free-text keywords or contents of a .prj shapefile, as URL parameters. In keyword mode, the API returns any matching ESPG codes. In WKT mode, the system parses the shapefile data and returns any missing code. Either way, the return data includes a URL to access the EPSG code description page for any matching code.",Mapping
"The CMaps Analytics API offers an integration point for map services such as Google Maps, Mapbox, Leaflet, Carto, ESRI, and more. CMaps Analytics provides low level functionality, diverse data, and over 20 visualization types. Developers can create base maps with any number of layers in order to represent interactions between points and regions. The API uses API Keys for authentication.",Mapping
Provides both forward and reverse geocoding on a per-use cost. The service turns a latitude/longitude pair into a meaningful address or place name. An address or name can also be turned into coordinates.,Mapping
"PHL is the API of Philadelphia Geo Data. Determine zones, districts, and wards based on a street address. View some datasets on a map. The API is powered by GeoCouch, is RESTful and can return responses in JSON.",Mapping
"Geocoder.us is a public service providing free geocoding of addresses and intersections in the United States. Using the service you can find the latitude & longitude of any US address and much more. Geocoder.us offers four different ways to access our web services: an XML-RPC interface, a SOAP interface, a REST interface that returns an RDF/XML document, and a REST interface that returns a plain text comma separated values result. The methods and return values are equivalent across all three interfaces.",Mapping
"The WRLD 3D Map API allows developers to embed a 3D map into other applications and services. The main API method is embedding a 3D map. WRLD is a company that creates and provides interactive 3D maps for a variety of operating systems/devices, such as iOS, Android, OSX, OculusVR, and WebGL.",Mapping
"The Google Maps Distance Matrix API allows developers to get travel distances and times for a matrix of origin and destination points. These values are calculated based on the recommended route between start and end points. Developers can also get distance data for different travel modes, customize the units in which distance data is given, and estimate travel time with traffic.",Mapping
"The TeleNav AJAX Maps API allows developers to integrate TeleNav's online maps into their own Web applications. This API uses Javascript and DHTML to allow developers to mashup their applications with TeleNav maps. The maps services are supplied through a TMapService object, which provides the services of geocoding, reverse-geocoding, and routing search.",Mapping
"The Bing Maps Imagery API provides developers the ability to get static maps and metadata for Bing Maps imagery. Users can also display a route on a static map. The API uses REST and SOAP protocol and responses are formatted in XML, JSON and JSONP.",Mapping
"From the US Geological Survey: The Elevation Query Web Service returns the elevation in feet or meters for a specific latitude/longitude point from the USGS Seamless Elevation data sets hosted at USGS/EROS. The elevation values returned default to the best-available (highest resolution) data source available at the specified point. Alternately, this service may return the value from a specified data source, or from all data sources. If unable to find data at the requested point, this services returns an extremely large, negative value.",Mapping
"Insiteo is an indoor location mapping service that can be integrated with mobile applications and data collection services and aims to increase site profitability, data intelligence, customer experience and satisfaction levels. The Insiteo Suite of APIs is comprised of six APIs which can be used independently or together to create indoor mapping applications. The suite includes the indoor location, interactive mapping, pathfinding and navigation, geofencing, meet me, and lone worker protection API.",Mapping
"The Google Maps Directions API calculates directions for traveling between locations programmatically. Users can get directions for different modes of transportation, such as transit, driving, walking, and cycling. Developers can also use waypoints to calculate routes that pass through additional locations and estimate travel times.",Mapping
"ArcWeb Services is a no-cost Web services mapping API that is available to Web developers wishing to access ArcWeb Services. Commercial Services functionality for personal, noncommercial, and nongovernmental development projects. Public Services is offered through a one-year subscription that provides almost all of the same API functionality of Commercial Services however, it only makes available a subset of the mapping data. Public Services provides personal interest Web developers with SOAP, REST, OpenLS, and mobile mapping APIs for integrating mapping and GIS functionality into Web-based applications.",Mapping
"ArcGIS is a geospatial solution for developingmapping and location applications. The Esri ArcGIS Map Service API provides accessibility to server-hosted map content through ArcGIS Online or ArcGIS for Server platforms. ArcGIS Online, aka Portal for ArcGIS, facilitates fast map navigation by displaying a set of tiled images.ArcGIS for Server, on the other hand, provides added functionality for performing a variety of tasks including dynamic drawing, query, and search.The Esri ArcGIS Map Service APIconveys requests and responses in JSON format.",Mapping
"The service provides map images for global locations to be transferred electronically as tiles that join together in a grid to display the complete map. Applications can submit location parameters identifying the area to be mapped, and the service breaks down image data for delivery to a single recipient or multiple recipients as a set of pre-rendered tiles allowing 18 zoom levels. API methods support mapping requests specifying the boundaries of the tile locations to be mapped and the zoom level. Returned data provide pre-rendered tile images. Optional methods can also return travel routes and real-time traffic data as additional layers overlaying the map image.",Mapping
"Glympse is a real-time location sharing application. Glympse allows users to share their real-time location with the people they choose to share it with. The Glympse API allows developers to access and integrate the functionality of Glympse with other applications. Some example API methods include retrieving locations, sending locations, and managing account information.",Mapping
The Koordinates APIs allow users to query data hosted on Koordinates via simple HTTP requests. They are accessible to any user who has a valid login to Koordinates. The Vector Query API allows looking up a point location and getting back information from one or more Koordinates vector layers. The Raster Query API allows looking up a point location and getting back information from one or more Koordinates grid or raster layers. Responses can be formatted in XML or JSON.,Mapping
The Mapbox Geocoding API does two things: geocoding and reverse geocoding. Geocoding lets you convert location text into geographic coordinates. Reverse geocoding turns geographic coordinates into place names. Mapbox is an open source mapping platform for developers.,Mapping
"The City of Helsinki provides a Geocoder API that allows users to access geospatial information relevant to the Helsinki metropolitan area. This API uses REST calls issued in JSON format to give developers access to its functions. Currently, it offers functions for converting from addresses to coordinates, converting from coordinates to addresses, searching for points of interest, and looking up city plans and districts. A demo portal is provided so that users can try the service out on the website.",Mapping
"SircWeb is a Chinese GIS software platform that also provides GIS-related web services. The SircWeb for Logistics APIs deal primarily with mapping, locations, and route-finding. Some of their specific functions include retrieving information on a specified location, finding all points of interest (POIs) within a defined area, generating directions for a driving route, and finding address locations. These APIs all use SOAP calls issued in XML format. Although the API documentation is available in English, the SircWeb website is provided solely in Chinese.",Mapping
"AtlasCT is a maps and location-based services (LBS) company providing maps, geo-services, GIS and LBS to web and mobile developers, and enterprises. AtlasCT also produces applications for GPS navigation, social location sharing, child tracking and more. AtlasCT Location-Based Services (LBS) APIS is a set of cloud-based services for supporting development of location-based, multimedia-rich web and mobile applications. Features include a location store, a social network, user management, messaging/IM, geo-fencing, multimedia & user-generated content, content management, geo-tagging, and more.",Mapping
OpenAddresses is a web portail for the management of Open Source worldwide localized postal addresses. The API uses a RESTful interface and responses are formatted as either JSON or CSV.,Mapping
My Trails offers users four API choices. The Location Based Search API returns information on shared trails and markers for latitude/longitude inputs from the My Trails database. The Client Upload API allows users to post new trails and markers to the database. The Client Register API allows new users to register and the Client Registration Check API checks the validity of usernames and password. All are performed using HTTP GET or POST requests.,Mapping
"The Google Maps Time Zone API allows developers to get time offset data for any location on earth. Developers can request information for a specific latitude/longitude pair and date, and the API will return the timezone's name, its offset from UTC, and its daylight savings offset. Results are returned in English by default, but other languages are available.",Mapping
"TrackMatching is a cloud based web service for matching GPS/GPX data on the OpenStreetMap (OSM) road network. The service is accessible through a REST API. Supported data formats for upload include GPX 1.0, GPX 1.1, and a custom CSV/text format for bulk processing. Responses may be JSON or XML formatted. Only positions and timestamps are required.",Mapping
"MapQuest Open API is an OpenStreetMap-based version of embeddable online maps. Using JavaScript or Flex (Flash and Mobile Flash APIs), you can create maps, add controls, plot points and draw lines on the map. The underlying map data, which is displayed as a tiled slippy map, is Creative Commons licensed and crowd-sourced by the OpenStreetMap community.",Mapping
"The Google Latitude API allows for websites and developers to integrate with Google Latitude, which lets users update and read their current location, their location history, and other geo-related information. In Latitude, a location is a record of where a user was at a given time. A location always contains a latitude, a longitude and a timestamp. It might also contain more details about the position of the user at that time, such as altitude, or metadata about how the position itself was captured, such as accuracy. A user typically has a current location, which represents the most recent known position of the user. In some cases, however, a user might decide to temporarily hide, making their position invisible to Latitude friends. A hidden user has no current location. A user can opt to have their locations stored as a time series by Google. This collection of positions is called the user's location history.",Mapping
"This API is the open version of MapQuest's Directions API. It is based on OpenStreetMap data and can also provide results internationally. The service provides routing between two or more latitude/longitude points and includes driving, walking, biking and transit directions.",Mapping
"CartoDB Maps API offers database, data, and location services for developers interested in generating maps, working with JSON format. With the API, anonymous maps and named maps can be customized using SQL and CSS parameters. In addition to Maps API, CartoDB provides Data API, Import API, and SQL API.",Mapping
"OpenStreetMap is the free wiki world map, an open volunteer-driven initiative to collaboratively create a map of the world, and release the map data under a free and open license. There are actually many different APIs in and around the OpenStreetMap ecosystem. Many developers searching for an API, may actually be looking for an JavaScript web mapping library. There are a few of these to choose from including free and open source options such as LeafletJS. These work by fetching map tiles from a tile server, and there are several of these to choose from too (the main OpenStreetMap server is not the only option) Some developers may be looking for data downloads. You can download the entire planet's worth of map data from planet.openstreetmap.org, and keep in syc with community map updates, using the diff downloads. Or you can download smaller more manageable country-sized, or city-size extracts of OpenStreetMap data. We do have a thing called the OpenStreetMap API. This provides read and write operations on the raw map data of the OpenStreetMap database. It is actually primarily for OpenStreetMap editing software, and although any developers can create a new editor tool, this is not a small undertaking, and should be carried out with careful consultation with the OpenStreetMap community. In other words... this thing called the OpenStreetMap API is probably not what you're looking for! You can use the OpenStreetMap API to download small chunks of map data, but for this purpose it's also worth checking out some other options. In particular the OverpassAPI offers some flexible querying by tags etc, which may be useful for your app. Whether you're wrangling raw geo-data or presenting a web-map mashup, the possibilities provided by OpenStreetMap, and by third parties within the OpenStreetMap ecosystem, offer endless potential for geo map hacking fun! If you need help with development, join the osm-dev mailing list, or other OpenStreetMap contact channels",Mapping
"India Pincode is an information service that provides a listing Post Offices and Pin Codes by state. The PINCode API allows users to query using a PIN Code and receive the Post Office, District and State the that the PIN corresponds to. The services uses REST calls and returns JSON. The API is free to use and has no usage limit.",Mapping
"With ArcGIS REST API Map Service, users can access content of a map hosted on a server. The site offers visual displays with updates, resource hierarchy, request parameters, and JSON response examples. This mapping service could be useful if developers intent to access functions such as dynamic drawing, query, and search through the server ArcGIS. If they decide to use the map service root URL, they will find network analysis and vector editing tools. More information available via e-mail, forum, and social media.",Mapping
"The National Broadband Map provides web services for accessing demand data outside of the mapping application as well as being an open source application. The API uses both REST and SOAP protocols and responses can be formatted as XML, JSON, CSV and KML. The National Broadband Map exists to comprehensively map New Zealand's Broadband landscape and provide information and tools to aid in demand aggregation and infrastructure planning. The National Broadband Map can be accessed and consumed in a number of ways from the visual representation of Broadband supply and demand to raw access to the underlying data. Network suppliers around New Zealand voluntarily provide the State Services Commission with their network coverage. This is generally provided in the file format of their GIS (geographic information system) package and uploaded to the National Broadband Map. Networks around New Zealand map their coverage for a variety of reasons with this normally being carried out using specialist GIS packages, By using the standard file formats of these packages the National Broadband Map removes the need to remap or re-estimate network coverage.",Mapping
"This is an API for GeoIP, an IP-to-location service. Pass the locate method an IP address, and it returns the location information, including latitude, longitude, city and country. Response format is in JSON (by default) or XML. It's currently in alpha with not a lot of functionalities.",Mapping
"Vicmap is a map that contains official spatial data on the State of Victoria, Australia. It forms the foundation of the state's geographic information systems and includes data such as addresses, administrative boundaries, elevations, hydrography, and more. The Vicmap JavaScript API provides a map viewing service that can be embedded on any website. Businesses and other entities that operate within the State of Victoria can display any relevant spatial information they wish on these maps.",Mapping
"Billing itself as tracks for vagabonds, GPSies is an online community built around sharing hiking, running, and cycling routes via GPS recorded tracks. Users either draw or import routes onto GPSies maps, which can then be downloaded. The GPSies API is able to deliver XML formatted route data. The API can query by username, geocoordinate perimeter, Zip code or city, country, and more.",Mapping
"This API provides a platform for interactive rendering of 3D maps and allows you to embed them into your website. Melown combines a JavaScript API with tens of terabytes of open data from the cloud, that works in every web browser, is cross-platform and customizable. It returns map states, events, position, distance and more. Melown is a interactive visualization platform for your 2D and 3D geospatial data.",Mapping
"Factual provides a platform for developers to share, mash, and build applications on open data. The Places API is used for place specific requirements. Functionality includes letting users translate between Factual IDs, third party IDs, and URLs that represent the same entity across the internet. Users can also find URLs that mention entities in the Factual places database. The API uses RESTful calls and responses are formatted in JSON.",Mapping
"GeoGratis is an online platform that holds geospatial data, maps, documents, and other geographic resources from Canada. The GeoGratis API allows developers to access and integrate the data and functionality of GeoGratis with other applications and to make other applications. Some example API methods include searching maps, retrieving maps, and retrieving geospatial data.",Mapping
"This REST API returns detailed information on geometry, metadata, Points of Interest (POI) and indoor routing for more than 12 000 venues around the world. Venue Maps includes responses for owner, address, levels and more. HERE is a mapping and location technology company.",Mapping
"IPAddressLabs is an IP address geolocator service. IPAddressLabs returns the geolocation of website visitors in real-time. Information returned includes city, country, zip code, area code, ISP, and latitude and longitude. The IPAddressLabs API allows developers to access and integrate the data and functionality of IPAddressLabs. Some example API methods include returning geolocation information, getting ISP information, and returning company or organization information if available.",Mapping
"The FINOU Maps API is an interactive Moroccan Mapping service that can be integrated into websites and applications. The sets of services offered include: map tiles service, geocoding service and location search service. The FINOU Maps mapping database contains only data about Morocco.",Mapping
"The service intends to accumulate address and geocoding information for locations worldwide via a participatory contributions by users. It crowdsources geocoded address data, such as postal addresses matched to location coordinates, then it gives web-based access to the repository for applications worldwide, focused especially on serving developing countries. API methods support retrieval of data upon request specifying, country code, province, city, district, and street. Data inputs are invited via bulk upload.",Mapping
