Service Description,Service Classification
"The service provides Australian postage, courier, and shipping rate calculation functions and modules for content management systems (DotNetNuke, Umbraco, Drupal, Joomla). The services integrate with existing shopping carts or provide standalone calculations. Shipping cost estimates cover almost any delivery address in Australia. API methods support submission of a package type and size (including weight), point of origin and destination, and shipping date. Methods return shipping options matching the request with rate quotes and shipper details.",Shipping
"mydigitalstructure is a web application building service. mydigitalstructure provides backend-as-a-service for websites and web applications. The mydigitalstructure API allows developers to access the functionality and methods of mydigitalstructure. The API includes over 500 methods, ranging from managing contacts through to full accounting functionality.",Backend
"BeThereNYC hosts a listing for events occurring in New York City. It focuses on events taking place at museums, such as exhibitions and stargazing. It also provides a map that shows the locations of listed events. The information on BeThereNYC can be accessed programmatically via REST API.",Events
"The service provides a directory of APIs for health-related services. Listings document available data and application functionality for topics like medical practice and health care, biological research, and healthy lifestyle practices, along with general-purpose APIs from providers in these sectors. The directory aggregates API listings from a number of online sources to narrow the selection of health-related services. API methods support retrieval of directory listings by type, protocol, feature sets, or tags and keywords applied.",Medical
"The National Oceanic and Atmospheric Administration (NOAA) provides the public, government agencies, and commercial enterprises with XML data from the National Weather Service's (NWS) digital forecast database. This API is available through SOAP or REST protocols, and provides an array of parameters allowing users to create customizable queries to the digital forecast database. Users can search the database by specific latitude/longitude, time, unit of measurement, and weather parameters. This service is provided free of charge by the U.S. government. Users interested in REST implementations of this API can find documentation [[http://graphical.weather.gov/xml/rest.php here]].",Weather
"Shipping Gear is an API that aims to help users with eCommerce shipping. Currently it supports one method where the user can calculate the result of package physical weight and volume comparison for given dimensions which represents the total chargeable weight for specific carrier. It supports the following carriers: DHL, TNT, Parcelforce, FedEx, UPS. The API uses HTTP calls and responses are formatted in JSON.",Shipping
"Parse offers developers a backend-as-a-service platform for their mobile applications. Developers can use SDKs for both iOS and Android to persist data and more. The REST API lets developers interact with Parse from computers that aren't mobile devices. With the APIs developers can have their webserver show data from Parse on a website, upload large amounts of data that will later be consumed in a mobile app, download recent data to run their own custom analytics and more.",Backend
"Brown Paper Tickets is a fair-trade ticketing company, providing tickets for both large and small events. In addition to their website, Brown Paper Tickets provides a RESTful API for developers to use to integrate with and use data from Brown Paper Tickets. The API gives developers access to a full featured suite of event ticketing and management tools. The Brown Paper Tickets API also works with affiliate program, allowing apps to generate revenue for the developer.",Events
"Tweetvite allows users to create and find tweetups in the user's area. Tweetvite's features include customizable invites, tracking tweets and retweets about the tweetup, and listing of events for others to find. The Tweetvite API is currently read-only. The API allows users to search and retrieve event information (guestlists, comments) and user profiles. Tweetvite plans to launch an API that users can write in the future.",Events
"DIRLINE (Directory of Information Resources Online) is the National Library of Medicine's online database containing location and descriptive information about a wide variety of information resources including organizations, research resources, projects, and databases concerned with health and biomedicine. The DIRLINE API allows users to search the DIRLINE database with keywords. Using this API, software developers can integrate DIRLINE data into their own applications. This service uses RESTful calls and returns search results with both brief and full records in XML Format.",Medical
"Gatekrash aggregates event listings in the UK by searching other websites. Gatekrash then collects the listings and provides filter and sort options. Events are grouped geographically, by venue or by other similarity. The Gatekrash API provides a RESTful interface to the Gatekrash event database. The API is currently free to use, with no rate limiting or authentication required, though considered to be in perpetual beta.",Events
The KISSmetrics API enables developers to add key metrics to their application quickly and easily. KISSmetrics is an analytics solution that provides a visual representation of a user's customer lifecycle. The API's most common functions include: record events that take place within your product set properties on a person without recording an event set the identity of the current person using your product Automatically aliasing users anonymous identities with named identities you provide Automatically tracking common web events (e.g. search engine traffic) A/B Testing A REST API is also available and an API key is required for use.,Analytics
"The Ticketfly Affiliate API allows developers to add Ticketfly event listings, artists and venue details, ticketing information, images, social media links, and purchase links to their websites. This API is available to approved sites for both commercial and non-commercial use. All API methods are RESTful and return either JSON or XML.",Events
"Its functions have been divided among the following APIs: AccuWeather Locations, AccuWeather Forecast, AccuWeather Current Conditions, AccuWeather Indices, AccuWeather Weather Alarms, AccuWeather Alerts, AccuWeather Imagery, AccuWeather Tropical, and AccuWeather Translations. This profile is maintained for historical, research, and reference purposes only.] AccuWeather APIs are now easily available to developers with our new AccuWeather API Developer Portal. Sign up today for a free trial package, or one of three package options i Standard, Prime, and Elite i starting as low as $25 per month. The AccuWeather API packages include multiple API endpoints, allowing users full customization based on the data call volume, data types, level of detail, and locations each developer needs. Users can also reach AccuWeather technical, sales, and customer service support teams to answer API and technical-related questions.",Weather
"FanSnap is a live event ticket search engine for fans. Its mission is to provide the most comprehensive, accurate, fast and easy-to-use resource for fans to find the tickets they desire to sports, concerts, and theater events. FanSnap allows users of its website to search for tickets from all over the web in one place, choose seats, select the tickets and then purchase directly from the ticketing site. Add a similar service to your site. Monetization opportunities available through the FanSnap Affiliate Program.",Events
"The Venteria service allows you to create, schedule, monitor and indicate attendance to local social events. The API gives you access to find events based on location, date, time and more.",Events
"YRC is a freight and shipping company servicing the U.S. and Canada. YRC offers many online services such as tracking, rate quotes, service alerts, pickup requests, and more. YRC offers a suite APIs for integrating their tools into third-party internet and intranet sites.",Shipping
"NHS Choices has created a set of web services to allow approved partners to interact with the service, free of charge. The web services return NHS Choices content in a form that can be easily integrated into a website or application.",Medical
Cownter is a service that allows website visitors to see how many people are currently looking at different pages within the site. This API is designed to give website owners programmatic access to this data.,Analytics
"Nightlife, clubs, gigs, festivals, arts, public events listings for many cities worldwide.",Events
"The Things Network offers an Internet of Things platform that is robust and solid, with a collaborative approach. The API is used to exchange information with devices on The Things Network. MQTT is the protocol used for lightweight publish/subscribe messaging capabilities. The Things Network aims to build a global open crowdsourced network for Internet of Things.",Internet of Things
"The TrackingMore Webhooks API allows you to get notifications for when the tracking is updated and it triggers an update of one of your trigger setting. TrackingMore will make a POST request to the callback URL that you defined in the webhook page. The TrackingMore API integrates package tracking and notifications into shipping applications that's available with JSON architecture. TrackingMore provides a way for multiple parcel tracking, track button, with 410 couriers, tracking APIs, e-commerce APPs and more.",Shipping
"The StockMarketClock API is a simple RESTful API that can be integrated into your new or existing trading tools that allows you to use the API with existing tools like AJAX, cURL, or the programming language of your choice. The two endpoints for list and status returns information for enumerates on all available stock exchanges and returns the real-time stock exchange open/closed status.",Stocks
"The Ally Investing API allows building an application to connect to an investment platform with 250,000 traders. JSON and XML are both supported response types.",Banking
"The Exchange Data International EOD Mongolian data feed brings end of day (EOD) prices from the Mongolian Stock Exchange directly to Excel, Google Sheets or API, allowing developers and analysts to keep up with this market. Prices are released after the close of trading in Mongolia is time zone. The Intrinio Mongolian Stock Exchange Prices API provides access to Exchange Data International is end of day prices and other daily trading summaries from the Mongolian Stock Exchange. Developers can access all historical prices for the exchange with simple syntax.",Stocks
"The Exchange Data International EOD Moldova data feed brings end of day (EOD) prices from the Bursa de Valori a Moldovei, a Chisinau, Moldova based exchange directly to Excel, Google Sheets or API, allowing developers and analysts to keep up with this market. Prices are released after the close of trading in Moldova is time zone. The Intrinio Moldova Stock Exchange Prices API provides access to Exchange Data International is end of day prices and other daily trading summaries from the Moldova Stock Exchange. Developers can access all historical prices for the exchange with simple syntax.",Stocks
"The Exchange Data International EOD Malta data feed brings end of day (EOD) prices from the Malta Stock Exchange directly to Excel, Google Sheets or API, allowing developers and analysts to keep up with this market. Prices are released after the close of trading in Malta is time zone. The Intrinio Malta Stock Exchange Prices API provides access to Exchange Data International is end of day prices and other daily trading summaries from the Malta Stock Exchange. Developers can access all historical prices for the exchange with simple syntax.",Stocks
"The Intrinio Trop-X Prices API is a data feed that allows developers to retrieve end of day prices (EOD) from the Trop-X in Seychelles. Available data includes high, low, open, and close prices as well as prices adjusted for splits and dividends. This API is updated daily at the close of trading and includes historical data back to 2007.",Stocks
"The Exchange Data International EOD Muscat data feed brings end of day (EOD) prices from the Muscat, Oman based exchange directly to Excel, Google Sheets or API, allowing developers and analysts to keep up with this market. Prices are released after the close of trading in Oman is time zone. The Intrinio Muscat Stock Exchange Prices API provides access to Exchange Data International is end of day prices and other daily trading summaries from the Muscat Stock Exchange. Developers can access all historical prices for the exchange with simple syntax.",Stocks
The Yahoo Weather RSS API allows developers to integrate up-to-date weather information for their location into their website or client application. This feed is dynamically generated based on WOEID (Where On Earth IDentifier) and is returned as an XML document that conforms to the RSS 2.0 specification. Users can save their feed to My Yahoo! or any feed aggregator.,Weather
"The Intrinio Mexican Stock Exchange Prices API offers historical financial data, prices, exchange prices, securities, and stock exchanges related to the Mexican Stock Exchange or Bolsa Mexicana de Valores. Built in REST architecture, the interface is available via API Key and basic auth secured in HTTPS. JSON responses will be available after making requests over HTTP verbs. The Exchange Data International is released after the close of trading in Mexico City is time zone, which closes at 3:00 PM Central Time. To learn more, visit http://www.stockexchange.com.mx/",Stocks
"The Intrinio Montevideo Stock Exchange Prices offers developers historical financial data, prices, exchange prices, securities, and stock exchanges related to Montevideo Uruguay Stock Exchange. The Intrinio API in REST architecture uses HTTPS verbs to receive JSON format responses in return. An API Key is required along with basic auth via HTTPS. The data is available from the most recent close of trading and historically back to 2007.",Stocks
"The Intrinio Mauritius Stock Exchange Prices API returns historical financial data, prices, exchange prices, securities, and stock exchanges, linked to the Mauritius Stock Exchange. The REST API requests calls in HTTPS verbs to receive responses in JSON format. To access, developers need an API Key and basic auth secured in HTTPS. The idea is to have investors to pull the data into Excel so that it will update in their spreadsheet each day.",Stocks
"Intrinio Merkur Market Prices API offers data on finances, exchanges, prices, securities, and stocks related to the Merkur Norway Stock Exchange. To start a project, developers can access via API Key and basic auth secured by HTTPS. Request verbs will return JSON format as responses. High, low, open, close, and volume are available in addition to adjusted prices for splits and dividends. Exchange Data International validates the prices for release at the end of the trading day on the exchange, making them available through Intrinio is API and Excel add-in.",Stocks
"The Intrinio Maldives Stock Exchange Prices API offers historical financial data, prices, exchange prices, securities, and stock exchanges connected to the Maldives Stock Exchange. Developers require an API Key to access, along with basic auth over secure HTTPS. Built in REST, the interface uses HTTPS verbs to request calls that will be displayed in JSON format. Developers can access all historical prices for the exchange with a simple syntax. Chat support and tutorials are available.",Stocks
"The Intrinio Malawi Stock Exchange Prices API provides historical financial data, prices, exchange prices, securities, and stock exchanges related to Malawi Stock Exchange. The API uses a REST architecture with HTTPS verbs to obtain responses in JSON formats. API Key is required along with basic auth via HTTPS.",Stocks
"The Intrinio London Stock Exchange Prices API data feed brings end of day prices from this UK based exchange directly to Excel, Google Sheets or API, allowing developers and analysts to keep up with this market. Prices are released after the close of trading in London is time zone, 4:30 PM Greenwich. The Exchange Data EOD England LSE feed provides validated and systematic stock prices after the closing bell for the LSE exchange so you can stop spending your time collecting and organizing data and get to work analyzing it.",Stocks
